baklava_name,baklava_size,baklava_price_euro,baklava_image_url,baklava_image_path,premium,tin
Pistachio-Walnut Baklava Assortment,XL,51.71,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-cevizli-karisik-baklava-xl-ku-436-99.jpg,imagefolder/fistikli-cevizli-karisik-baklava-xl-ku-436-99.jpg,Not Premium,Not Tin
Baklava Assortment,L,45.96,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/premium-karisik-baklava-l-kutu-4788-9.jpg,imagefolder/premium-karisik-baklava-l-kutu-4788-9.jpg,Premium,Not Tin
Pistachio-Walnut Baklava Assortment,L,42.52,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-cevizli-karisik-baklava-l-kut-fb1e38.jpg,imagefolder/fistikli-cevizli-karisik-baklava-l-kut-fb1e38.jpg,Not Premium,Not Tin
Pistachio Baklava Assortment,XL,57.45,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-karisik-baklava-xl-kutu-b-123b.jpg,imagefolder/fistikli-karisik-baklava-xl-kutu-b-123b.jpg,Not Premium,Not Tin
Pistachio-Walnut Baklava Assortment,S,21.83,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-cevizli-karisik-baklava-s-kut-28-3a5.jpg,imagefolder/fistikli-cevizli-karisik-baklava-s-kut-28-3a5.jpg,Not Premium,Not Tin
Pistachio-Walnut Baklava Assortment,M,29.88,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-cevizli-karisik-baklava-m-kut-469-4b.jpg,imagefolder/fistikli-cevizli-karisik-baklava-m-kut-469-4b.jpg,Not Premium,Not Tin
Pistachio-Walnut Baklava Assortment,M,28.73,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/premium-pistachio-walnut-baklava-assor-9446fa.jpg,imagefolder/premium-pistachio-walnut-baklava-assor-9446fa.jpg,Premium,Not Tin
Pistachio Baklava Assortment,M,32.17,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/premium-fistikli-karisik-baklava-m-kut-4-4a97.jpg,imagefolder/premium-fistikli-karisik-baklava-m-kut-4-4a97.jpg,Premium,Not Tin
Walnut Padishah Baklava,XL,45.96,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cevizli-padisah-xl-kutu-68-afd.jpg,imagefolder/cevizli-padisah-xl-kutu-68-afd.jpg,Not Premium,Tin
Pistachio Princess,XL,53.03,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-prenses-xl-kutu-8d08-e.jpg,imagefolder/fistikli-prenses-xl-kutu-8d08-e.jpg,Not Premium,Not Tin
Pistachio Belle Kiss Baklava,XL,59.75,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-dilber-dudagi-xl-kutu-8f95b2.jpg,imagefolder/fistikli-dilber-dudagi-xl-kutu-8f95b2.jpg,Not Premium,Tin
Pistachio Ankara Baklava,XL,62.05,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-ankara-xl-kutu-ef0-47.jpg,imagefolder/fistikli-ankara-xl-kutu-ef0-47.jpg,Premium,Tin
Pistachio Baklava Assortment,XL,57.45,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/premium-karisik-fistikli-baklava-xl-ku-60ec8-.jpg,imagefolder/premium-karisik-fistikli-baklava-xl-ku-60ec8-.jpg,Premium,Not Tin
